date,rank,title,points,comments,hn_url,url
2026-07-22,1,OpenAI and Hugging Face address security incident during model evaluation,1177,813,https://news.ycombinator.com/item?id=48997548,https://openai.com/index/hugging-face-model-evaluation-security-incident/
2026-07-22,2,Advertise in ChatGPT,776,570,https://news.ycombinator.com/item?id=48996571,https://ads.openai.com/
2026-07-22,3,"Gemini 3.6 Flash, 3.5 Flash-Lite, and 3.5 Flash Cyber",691,529,https://news.ycombinator.com/item?id=48993414,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-6-flash-3-5-flash-lite-3-5-flash-cyber/
2026-07-22,4,Kimi K3 Is Competitive with Fable; Kimi K3 and Fable Is SoTA,637,347,https://news.ycombinator.com/item?id=48999291,https://fireworks.ai/blog/kimik3-fable
2026-07-22,5,FreeInk: Open ecosystem for e-readers,566,121,https://news.ycombinator.com/item?id=48996318,https://freeink.org/
2026-07-22,6,"'VPNs are lawful technical tools,' says EU Court in landmark copyright ruling",563,96,https://news.ycombinator.com/item?id=48997221,https://www.techradar.com/vpn/vpn-privacy-security/vpns-are-lawful-technical-tools-says-eu-court-in-landmark-anne-frank-copyright-ruling
2026-07-22,7,Apple defeats liability for not scanning iCloud for CSAM,417,397,https://news.ycombinator.com/item?id=48992870,https://blog.ericgoldman.org/archives/2026/07/apple-defeats-liability-for-not-scanning-icloud-for-csam-but-the-judge-was-not-pleased-amy-v-apple.htm
2026-07-22,8,Judge approves $1.5B Anthropic settlement for pirated books used to train Claude,375,308,https://news.ycombinator.com/item?id=48996652,https://apnews.com/article/ai-anthropic-copyright-settlement-claude-books-bartz-74b140444023898aeba8579b6e9f0d63
2026-07-22,9,"Long presumed dead, a thriving coral reef is discovered in West Africa",350,75,https://news.ycombinator.com/item?id=48993816,https://e360.yale.edu/digest/benin-coral-reef
2026-07-22,10,Laguna S 2.1,322,60,https://news.ycombinator.com/item?id=48995261,https://poolside.ai/blog/introducing-laguna-s-2-1
2026-07-22,1,OpenAI and Hugging Face address security incident during model evaluation,1187,823,https://news.ycombinator.com/item?id=48997548,https://openai.com/index/hugging-face-model-evaluation-security-incident/
2026-07-22,2,Advertise in ChatGPT,784,581,https://news.ycombinator.com/item?id=48996571,https://ads.openai.com/
2026-07-22,3,"Gemini 3.6 Flash, 3.5 Flash-Lite, and 3.5 Flash Cyber",696,531,https://news.ycombinator.com/item?id=48993414,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-6-flash-3-5-flash-lite-3-5-flash-cyber/
2026-07-22,4,Kimi K3 Is Competitive with Fable; Kimi K3 and Fable Is SoTA,645,348,https://news.ycombinator.com/item?id=48999291,https://fireworks.ai/blog/kimik3-fable
2026-07-22,5,FreeInk: Open ecosystem for e-readers,570,122,https://news.ycombinator.com/item?id=48996318,https://freeink.org/
2026-07-22,6,"'VPNs are lawful technical tools,' says EU Court in landmark copyright ruling",568,100,https://news.ycombinator.com/item?id=48997221,https://www.techradar.com/vpn/vpn-privacy-security/vpns-are-lawful-technical-tools-says-eu-court-in-landmark-anne-frank-copyright-ruling
2026-07-22,7,Apple defeats liability for not scanning iCloud for CSAM,420,400,https://news.ycombinator.com/item?id=48992870,https://blog.ericgoldman.org/archives/2026/07/apple-defeats-liability-for-not-scanning-icloud-for-csam-but-the-judge-was-not-pleased-amy-v-apple.htm
2026-07-22,8,Judge approves $1.5B Anthropic settlement for pirated books used to train Claude,380,320,https://news.ycombinator.com/item?id=48996652,https://apnews.com/article/ai-anthropic-copyright-settlement-claude-books-bartz-74b140444023898aeba8579b6e9f0d63
2026-07-22,9,"Long presumed dead, a thriving coral reef is discovered in West Africa",351,75,https://news.ycombinator.com/item?id=48993816,https://e360.yale.edu/digest/benin-coral-reef
2026-07-22,10,Laguna S 2.1,324,61,https://news.ycombinator.com/item?id=48995261,https://poolside.ai/blog/introducing-laguna-s-2-1
